restaurant_name,street_address,google_map,phone
STK - NYC - Midtown,"1114 Avenue of the Americas New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7547900%2C-73.982626,(646) 624-2455
Tavern on the Green,"1 Tavern on the Green New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7723930%2C-73.97862,(212) 877-8684
Lido,"2168 Frederick Douglass Blvd. New York, NY  10026",//www.google.com/maps/search/?api=1&query=40.8050550%2C-73.954881,(646) 490-8575
Becco,"355 West 46th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7604440%2C-73.989473,(212) 397-7597
Catch New York,"21 Ninth Avenue New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7400440%2C-74.006049,(212) 392-5978
Tao Uptown,"42 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7626390%2C-73.97163,(212) 888-2288
Tao Downtown,"92 Ninth Ave New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7426140%2C-74.004205,(212) 888-2724
Serra by Birreria,"200 Fifth Avenue New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7420200%2C-73.989927,(212) 937-8910
Red Rooster Harlem,"310 Lenox Avenue New York, NY  10027",//www.google.com/maps/search/?api=1&query=40.8081470%2C-73.944909,(212) 792-9001
Del Frisco's Double Eagle Steakhouse - New York City,,,
FIG & OLIVE Fifth Avenue,"10 East 52nd Street New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7595440%2C-73.975721,(212) 319-2002
Sarabeth's West,"423 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7838690%2C-73.977432,(212) 496-6280
Rosa Mexicano by Lincoln Center,"61 Columbus Avenue New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7705900%2C-73.98357,(212) 977-7700
Bar Boulud,"1900 Broadway New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7713730%2C-73.982034,(212) 595-0303
Boulud Sud,"20 West 64th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7716450%2C-73.981032,(212) 595-1313
Café Boulud,"20 East 76th St. New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7745190%2C-73.963928,(212) 772-2600
ilili,"236 Fifth Avenue New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7442760%2C-73.987587,(212) 683-2929
JoJo,,,
Atlantic Grill Near Lincoln Center,"49 West 64th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7720650%2C-73.981511,(212) 787-4663
La Pecora Bianca - Midtown,"950 2nd Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7550050%2C-73.968053,(212) 899-9996
Toloache-Midtown,"251 West 50th Street New York, NY  10012",//www.google.com/maps/search/?api=1&query=40.7621700%2C-73.985663,(212) 581-1818
Lincoln Ristorante,"142 West 65th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7736160%2C-73.98356,(212) 359-6500
The View Restaurant,"1535 Broadway New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7582300%2C-73.985763,(212) 704-8900
Ocean Prime - New York,"123 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7617290%2C-73.980629,(212) 956-1404
The Palm Court at The Plaza Hotel,,,
La Pecora Bianca - NoMad,"1133 Broadway New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7436890%2C-73.989339,(212) 498-9696
Scarpetta,"88 Madison Ave New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7444290%2C-73.985796,(212) 691-0555
Zuma Japanese Restaurant - NY,"261 Madison Avenue New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7504680%2C-73.980608,(212) 544-9862
Blue Fin - New York,"1567 Broadway at 47th Street W Hotel Times Square New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7592810%2C-73.985265,(212) 918-1400
Hakkasan - New York,"311 West 43rd Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7583430%2C-73.990152,(212) 776-1818
Park Avenue Summer,,,
Empellon Midtown,"Empellon 510 Madison Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7596930%2C-73.974572,(212) 858-9365
'Cesca,"164 W. 75th St. New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7801000%2C-73.9792,(212) 787-6300
Butter Midtown,"70 West 45th New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7564900%2C-73.982279,(212) 302-8703
LAVO Italian Restaurant,,,
Morandi,,,
Orsay,"1057-59 Lexington Avenue New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7723970%2C-73.960762,(212) 517-6400 ext. 0
Philippe Chow - Uptown,,,
La Masseria,"235 West 48th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7604370%2C-73.985575,(212) 582-2111
Barbounia,"250 Park Ave South New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7380000%2C-73.988,(212) 995-0242
Morimoto New York,"88 10th Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7432360%2C-74.007408,(212) 989-8883
The Wayfarer,"101 West 57th St. New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7643890%2C-73.977469,(212) 691-0030
Casa Lever,"390 Park Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7595780%2C-73.97239,(212) 888-2700
Victor's Café,,,
db Bistro moderne,"55 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7556310%2C-73.981658,(212) 391-2400
Claudette,"24 Fifth Avenue New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7331340%2C-73.995975,(212) 868-2424
Jams - NYC,"1414 6th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7648320%2C-73.976823,(212) 703-2007
Smith & Wollensky - New York,"797 Third Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7551690%2C-73.970853,(212) 753-1530
FIG & OLIVE Meatpacking,"420 West 13th Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7406100%2C-74.00676,(212) 924-1200
Oxbow Tavern,,,
Smoke Jazz and Supper Club,"2751 Broadway New York, NY  10025",//www.google.com/maps/search/?api=1&query=40.8012200%2C-73.968013,(212) 864-6662
Danji,"346 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7640010%2C-73.986873,(212) 586-2880
21 Club,"21 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7602250%2C-73.97706,(212) 582-7200
Molyvos,"871 7th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7644260%2C-73.980646,(212) 582-7500
Lexington Brass,"517 Lexington Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7552470%2C-73.972979,(212) 392-5976
Il Mulino New York - Uptown,"37 East 60th New York, NY  10021",//www.google.com/maps/search/?api=1&query=40.7641430%2C-73.970194,(212) 750-3270
Ousia,"629 W 57th St New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7714850%2C-73.994053,(212) 333-2000
Dos Caminos - Times Square,"1567 Broadway W Hotel Times Square New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7593250%2C-73.985599,(212) 918-1330
T-BAR Steak & Lounge (Upper East Side),"1278 3rd Avenue New York, NY  10028",//www.google.com/maps/search/?api=1&query=40.7710000%2C-73.96,(212) 772-0404
Sarabeth's Park Avenue South,"381 Park Ave South New York, NY  10013",//www.google.com/maps/search/?api=1&query=40.7425210%2C-73.984531,(212) 335-0093
Masseria dei Vini,"887-889 9th Ave. New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7684920%2C-73.985762,(212) 315-2888
Kellari Taverna,"19 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7550000%2C-73.98,(212) 221-0144
Burke & Wills,"226 West 79th Street New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7833610%2C-73.979579,(646) 823-9251
Marseille,"630 Ninth Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7599110%2C-73.991356,(212) 333-2323
L'adresse,,,
Bocca di Bacco (Hell's Kitchen - 54th St.),"828 9th Avenue New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7661560%2C-73.986752,(212) 265-8828
Kyma - Flatiron,,,
The Capital Grille - NY - Rockefeller Center,,,
Tommy Bahama - New York,"551 Fifth Avenue New York, NY  10176",//www.google.com/maps/search/?api=1&query=40.7553670%2C-73.978413,(212) 537-0960
BLACKBARN Restaurant - NoMad,,,
La Sirene UWS,,,
GAONNURI,"1250 BROADWAY 39th Floor New York, NY  10001",//www.google.com/maps/search/?api=1&query=40.7481350%2C-73.988038,(212) 971-9045
Rosa Mexicano - Union Square,"9 E. 18th St. New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7380000%2C-73.991,(212) 533-3350
Obao,"647 9th Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7606000%2C-73.991223,(212) 245-8880
Obao,"647 9th Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7606000%2C-73.991223,(212) 245-8880
Almond,"12 East 22nd Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7405000%2C-73.9893,(212) 228-7557
Ai Fiori,"400 5th Avenue New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7502280%2C-73.983714,(212) 613-8660
Cafe d'Alsace,"1695 2nd Ave (Corner of  88th Street & 2nd Ave) New York, NY  10128",//www.google.com/maps/search/?api=1&query=40.7790080%2C-73.950886,(212) 722-5133
Hunt & Fish Club NYC,"125 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7567930%2C-73.984254,(212) 575-4949
Rosa Mexicano - First Avenue,"1063 1st Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7589250%2C-73.962759,(212) 753-7407
Lattanzi,,,
Glass House Tavern,"252 West 47th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7598310%2C-73.986685,(212) 730-4800
The Whitby Bar and Restaurant,"18 W 56th St New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7626050%2C-73.975734,(646) 928-4207
La Goulue,,,
FIG & OLIVE Uptown,"808 Lexington Avenue New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7644040%2C-73.966924,(212) 207-4555
Empellon Taqueria,"230 West 4th New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7341240%2C-74.003031,(212) 367-0999
MR CHOW - 57th,"324 East 57th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7588750%2C-73.964281,(212) 751-9030
Bocca Di Bacco (Theatre District - 45th St.),"635 9th Avenue New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7600000%2C-73.991,(212) 262-2525
The Capital Grille - NY – Chrysler Center,"155 E 42nd Street Located in the Trylon Towers of The Chrysler Center New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7513190%2C-73.974901,(212) 953-2000
Bobo Restaurant,"181 West 10th Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7342970%2C-74.002619,(212) 488-2626
Rotisserie Georgette,"14 East 60th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7644250%2C-73.971617,(212) 390-8060
Brasserie 8 1/2,"9 West 57th St. New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7632810%2C-73.974308,(212) 829-0812
Casa Nonna - Midtown,"310 West 38th Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7549900%2C-73.992876,(212) 736-3000
Benoit Restaurant and Wine Bar,"60 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7624850%2C-73.976843,(646) 943-7373
Ruth's Chris Steak House - New York City - Midtown,"148 West 51st Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7614000%2C-73.9821,(212) 245-9600
Sarabeth's Central Park South,"40 Central Park South New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7652880%2C-73.975283,(212) 826-5959
Gallaghers Steakhouse - Manhattan,"228 West 52nd Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7627930%2C-73.98384,(212) 586-5000
Nice Matin,"201 West 79th Street New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7831000%2C-73.9783,(212) 873-6423
Sarabeth's East,"1295 Madison Avenue New York, NY  10128",//www.google.com/maps/search/?api=1&query=40.7845480%2C-73.956095,(212) 410-7335
The Ribbon - Midtown,,,
Storico,"New-York Historical Society 170 Central Park West New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7794400%2C-73.973911,(212) 485-9211
Armani Ristorante 5th Avenue,"717 5th Avenue New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7621420%2C-73.974562,(212) 207-1902
The Leopard at des Artistes,"1 West 67th St. New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7734360%2C-73.978955,(212) 787-8767
STK - NYC - Meatpacking,"26 Little West 12th St. New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7399000%2C-74.007395,(646) 624-2444
Felidia,"243 E. 58th New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7606210%2C-73.966034,(212) 758-1479
Manzo Ristorante - Eataly NYC Flatiron,"200 5th Avenue New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7419670%2C-73.989491,(212) 229-2180
The Lambs Club,,,
Bar Italia,"768 Madison Avenue New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7678710%2C-73.968442,(917) 546-6676
Riverpark,"450 East 29th Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7393840%2C-73.973595,(212) 729-9790
Club A Steakhouse,"240 East 58th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7605260%2C-73.96609,(212) 688-4190
Michael's,"24 West 55th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7621300%2C-73.976223,(212) 767-0555 ext. 1
Felice 83,,,
STK Rooftop,,,
Sea Fire Grill,"158 East 48th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7548880%2C-73.972435,(212) 935-3785
Le Rivage,,,
LEGASEA,"485 Seventh Avenue New York, NY  10018",//www.google.com/maps/search/?api=1&query=40.7523580%2C-73.989319,(212) 268-1888
Natsumi Restaurant,"226 West 50th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7618480%2C-73.985039,(212) 258-2988
Feroce,,,
DaDong NY,"3 Bryant Park New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7535960%2C-73.983232,(212) 355-9600
Monkey Bar,"60 East 54th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7600270%2C-73.973006,(212) 288-1010
Bluebird London NYC,,,
Sant Ambroeus - West Village,"259 West 4th Street New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7354210%2C-74.003143,(212) 604-9254
Anassa Taverna,"200 East 60th Street New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7620370%2C-73.966063,(212) 371-5200
Boucherie - Union Square,,,
Shun Lee West,"43 West 65th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7727140%2C-73.98143,(212) 595-8895
Chez Josephine,"414 West 42nd Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7584870%2C-73.993562,(212) 594-1925
Match 65 Brasserie (formerly Paris Match),"29 East 65th Street New York, NY  10065",//www.google.com/maps/search/?api=1&query=40.7671920%2C-73.968298,(212) 737-4400
Philippe Chow - Downtown,,,
Hudson Yards Grill,,,
Dos Caminos - Park,"373 Park Ave South at 27th Street New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7423580%2C-73.984693,(212) 294-1000
Woodpecker by David Burke,,,
Casa Mono,,,
Bodega Negra,"355 West 16th street New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7420080%2C-74.003721,(212) 229-2336
Haru Sushi - Amsterdam Ave,"433 Amsterdam Avenue New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7841670%2C-73.977247,(212) 579-5655
Maiella - LIC,"46-10 Center Blvd. Long Island City, NY  11109",//www.google.com/maps/search/?api=1&query=40.7448040%2C-73.95789,(718) 606-1770
Churrascaria Plataforma Brazilian Steakhouse,"316 West 49th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7618550%2C-73.987024,(212) 245-0505
Bobby Van's Grill - 50th Street,"135 West 50th Street New York, NY  10020",//www.google.com/maps/search/?api=1&query=40.7600000%2C-73.982,(212) 957-5050
MIFUNE New York,":​ 245 E, 44th Street New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7516370%2C-73.97176,(212) 986-2800
Brasserie Cognac East,,,
Il Cantinori,"32 East 10th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7330000%2C-73.994,(212) 673-6044
Benjamin Steakhouse Prime,"23 E 40th St. New York, NY  10016",//www.google.com/maps/search/?api=1&query=40.7514370%2C-73.979977,(212) 338-0818
Lincoln Square Steak,"208 West 70th Street New York, NY  10023",//www.google.com/maps/search/?api=1&query=40.7772340%2C-73.983146,(212) 875-8600
Naples 45,,,
Ammos Estiatorio,"52 Vanderbilt Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7542670%2C-73.977181,(212) 922-9999
Trattoria Zero Otto Nove,"15 West 21st Street New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7408570%2C-73.991622,(212) 242-0899
Ortzi by Jose Garces,"120 W 41st St New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7544110%2C-73.985758,(212) 730-8900
Obica Mozzarella Bar  Pizza e Cucina,"928 Broadway New York, NY  10010",//www.google.com/maps/search/?api=1&query=40.7400480%2C-73.989301,(212) 777-2754
Zengo - NYC,"622 Third Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7500930%2C-73.975875,(212) 808-8110
Fine & Rare,,,
Bagatelle - NY,"One Little West 12th New York, NY  10014",//www.google.com/maps/search/?api=1&query=40.7396090%2C-74.006141,(212) 488-2110
Periyali,"35 W. 20th St. New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7401000%2C-73.992,(212) 463-7890
David Burke Tavern,,,
Strip House Midtown,"15 West 44th New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7552990%2C-73.980925,(212) 336-5454
Farmer & The Fish - Gramercy,"245 Park Ave S New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7379780%2C-73.987496,(646) 998-5991
.Tarallucci e Vino Upper West Side,"475 Columbus Ave New York, NY  10024",//www.google.com/maps/search/?api=1&query=40.7842980%2C-73.973346,(212) 362-5454
Bann Restaurant,"350 West 50th Street New York, NY  10019",//www.google.com/maps/search/?api=1&query=40.7629670%2C-73.987845,(212) 582-4446
The Flatiron Room,,,
Maloney & Porcelli,"37 E. 50th St. New York, NY  10022",//www.google.com/maps/search/?api=1&query=40.7577590%2C-73.975376,(212) 750-2233
Le Coq Rico,"30 East 20th Street New York, NY  10003",//www.google.com/maps/search/?api=1&query=40.7385740%2C-73.988902,(212) 267-7426
Pera Mediterranean Brasserie,"303 Madison Avenue New York, NY  10017",//www.google.com/maps/search/?api=1&query=40.7525360%2C-73.979487,(212) 878-6301
Brasserie Ruhlmann,"45 Rockefeller Plaza New York, NY  10011",//www.google.com/maps/search/?api=1&query=40.7590000%2C-73.978,(212) 974-2020
Etcetera Etcetera,"352 West 44th Street New York, NY  10036",//www.google.com/maps/search/?api=1&query=40.7591600%2C-73.990333,(212) 399-4141
